.ac,country-code,Network Information Center (AC Domain Registry) c/o Cable and Wireless (Ascension Island)
.ad,country-code,Andorra Telecom
.ae,country-code,Telecommunication Regulatory Authority (TRA)
.af,country-code,Ministry of Communications and IT
.ag,country-code,UHSA School of Medicine
.ai,country-code,Government of Anguilla
.al,country-code,Electronic and Postal Communications Authority - AKEP
.am,country-code,Internet Society Non-governmental Organization
.an,country-code,Retired
.ao,country-code,Faculdade de Engenharia da Universidade Agostinho Neto
.aq,country-code,Antarctica Network Information Centre Limited
.ar,country-code,Presidencia de la Nación – Secretaría Legal y Técnica
.as,country-code,AS Domain Registry
.at,country-code,nic.at GmbH
.au,country-code,.au Domain Administration (auDA)
.aw,country-code,SETAR
.ax,country-code,Ålands landskapsregering
.az,country-code,IntraNS
.ba,country-code,Universtiy Telinformatic Centre (UTIC)
.bb,country-code,Government of Barbados Ministry of Economic Affairs and Development Telecommunications Unit
.bd,country-code,Posts and Telecommunications Division
.be,country-code,DNS Belgium vzw/asbl
.bf,country-code,ARCE-AutoritÈ de RÈgulation des Communications Electroniques
.bg,country-code,Register.BG
.bh,country-code,Telecommunications Regulatory Authority (TRA)
.bi,country-code,Centre National de l'Informatique
.bj,country-code,Benin Telecoms S.A.
.bl,country-code,Not assigned
.bm,country-code,"Registry General Department, Ministry of Home Affairs"
.bn,country-code,Brunei Darussalam Network Information Centre Sdn Bhd (BNNIC)
.bo,country-code,Agencia para el Desarrollo de la Información de la Sociedad en Bolivia
.bq,country-code,Not assigned
.br,country-code,Comite Gestor da Internet no Brasil
.bs,country-code,The College of the Bahamas
.bt,country-code,Ministry of Information and Communications
.bv,country-code,UNINETT Norid A/S
.bw,country-code,Botswana Communications Regulatory Authority (BOCRA)
.by,country-code,"Reliable Software, Ltd."
.bz,country-code,University of Belize
.ca,country-code,Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI)
.cc,country-code,eNIC Cocos (Keeling) Islands Pty. Ltd. d/b/a Island Internet Services
.cd,country-code,Office Congolais des Postes et Télécommunications - OCPT
.cf,country-code,Societe Centrafricaine de Telecommunications (SOCATEL)
.cg,country-code,ONPT Congo and Interpoint Switzerland
.ch,country-code,SWITCH The Swiss Education & Research Network
.ci,country-code,INP-HB Institut National Polytechnique Felix Houphouet Boigny
.ck,country-code,Telecom Cook Islands Ltd.
.cl,country-code,NIC Chile (University of Chile)
.cm,country-code,Cameroon Telecommunications (CAMTEL)
.cn,country-code,China Internet Network Information Center (CNNIC)
.co,country-code,.CO Internet S.A.S.
.cr,country-code,National Academy of Sciences Academia Nacional de Ciencias
.cu,country-code,CENIAInternet Industria y San Jose Capitolio Nacional
.cv,country-code,Agência Nacional das Comunicações (ANAC)
.cw,country-code,University of Curacao
.cx,country-code,Christmas Island Domain Administration Limited
.cy,country-code,University of Cyprus
.cz,country-code,"CZ.NIC, z.s.p.o"
.de,country-code,DENIC eG
.dj,country-code,Djibouti Telecom S.A
.dk,country-code,Dansk Internet Forum
.dm,country-code,DotDM Corporation
.do,country-code,Pontificia Universidad Catolica Madre y Maestra Recinto Santo Tomas de Aquino
.dz,country-code,CERIST
.ec,country-code,NIC.EC (NICEC) S.A.
.ee,country-code,Eesti Interneti Sihtasutus (EIS)
.eg,country-code,Egyptian Universities Network (EUN) Supreme Council of Universities
.eh,country-code,Not assigned
.er,country-code,Eritrea Telecommunication Services Corporation (EriTel)
.es,country-code,Red.es
.et,country-code,Ethio telecom
.eu,country-code,EURid vzw/asbl
.fi,country-code,Finnish Communications Regulatory Authority
.fj,country-code,The University of the South Pacific IT Services
.fk,country-code,Falkland Islands Government
.fm,country-code,FSM Telecommunications Corporation
.fo,country-code,FO Council
.fr,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
.ga,country-code,Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF)
.gb,country-code,Reserved Domain - IANA
.gd,country-code,The National Telecommunications Regulatory Commission (NTRC)
.ge,country-code,Caucasus Online
.gf,country-code,Net Plus
